게임명	제조사	가격	평점
1.  Minecraft	Mojang	US$6.99	90.12
2.  에버테일	ZigZaGame Inc.	US$0.99	94.10
3.  Geometry Dash	RobTop Games	US$1.99	95.13
4.  Bloons TD 6	ninja kiwi	US$4.99	93.03
5.  Stardew Valley	Chucklefish Limited	US$7.99	93.44
6.  Grand Theft Auto: San Andreas	Rockstar Games	US$6.99	86.49
7.  Five Nights at Freddy's	Scott Cawthon	US$2.99	91.53
8.  Terraria.	505 Games Srl	US$4.99	85.40
9.  The Game of Life	Marmalade Game Studio	US$2.99	87.05
10.  NBA 2K19	2K, Inc.	US$7.99	76.90
